user_id,name,email,country
1,Usuario_1,user1@movieflix.com,EUA
2,Usuario_2,user2@movieflix.com,França
3,Usuario_3,user3@movieflix.com,EUA
4,Usuario_4,user4@movieflix.com,EUA
5,Usuario_5,user5@movieflix.com,Canadá
6,Usuario_6,user6@movieflix.com,Canadá
7,Usuario_7,user7@movieflix.com,EUA
8,Usuario_8,user8@movieflix.com,França
9,Usuario_9,user9@movieflix.com,EUA
10,Usuario_10,user10@movieflix.com,Brasil
11,Usuario_11,user11@movieflix.com,França
12,Usuario_12,user12@movieflix.com,Brasil
13,Usuario_13,user13@movieflix.com,França
14,Usuario_14,user14@movieflix.com,Canadá
15,Usuario_15,user15@movieflix.com,Brasil
16,Usuario_16,user16@movieflix.com,Canadá
17,Usuario_17,user17@movieflix.com,Brasil
18,Usuario_18,user18@movieflix.com,França
19,Usuario_19,user19@movieflix.com,EUA
20,Usuario_20,user20@movieflix.com,França
